source,relation,target
Glimepiride,CAUSES,Hypoglycemia
Glimepiride,CAUSES,Weight gain
Glimepiride,CAUSES,Hypersensitivity reactions
Glyburide,TARGETS,Sulfonylurea receptor 1 (SUR1 / ABCC8)
Glyburide,METABOLIZED_BY,CYP2C9
Glyburide,TRANSPORTED_BY,OATP1B1
Glyburide,PARTICIPATES_IN,Insulin secretion pathway
Glyburide,CAUSES,Hypoglycemia
Glyburide,CAUSES,Weight gain
Glyburide,CAUSES,Hypersensitivity reactions
Gliclazide,TARGETS,Sulfonylurea receptor 1 (SUR1 / ABCC8)
Gliclazide,METABOLIZED_BY,CYP2C9
Gliclazide,TRANSPORTED_BY,OATP1B1
Gliclazide,PARTICIPATES_IN,Insulin secretion pathway
Gliclazide,CAUSES,Hypoglycemia
Gliclazide,CAUSES,Weight gain
Gliclazide,CAUSES,Hypersensitivity reactions
Chlorpropamide,TARGETS,Sulfonylurea receptor 1 (SUR1 / ABCC8)
Chlorpropamide,METABOLIZED_BY,CYP2C9
Chlorpropamide,TRANSPORTED_BY,OATP1B1
Chlorpropamide,PARTICIPATES_IN,Insulin secretion pathway
Chlorpropamide,CAUSES,Hypoglycemia
Chlorpropamide,CAUSES,Weight gain
Chlorpropamide,CAUSES,Hypersensitivity reactions
Tolbutamide,TARGETS,Sulfonylurea receptor 1 (SUR1 / ABCC8)
Tolbutamide,METABOLIZED_BY,CYP2C9
Tolbutamide,TRANSPORTED_BY,OATP1B1
Tolbutamide,PARTICIPATES_IN,Insulin secretion pathway
Tolbutamide,CAUSES,Hypoglycemia
Tolbutamide,CAUSES,Weight gain
Tolbutamide,CAUSES,Hypersensitivity reactions
Ibuprofen,TARGETS,Cyclooxygenase-1 (COX-1)
Ibuprofen,TARGETS,Cyclooxygenase-2 (COX-2)
Ibuprofen,METABOLIZED_BY,CYP2C9
Ibuprofen,METABOLIZED_BY,CYP2C8
Ibuprofen,TRANSPORTED_BY,OAT1
Ibuprofen,TRANSPORTED_BY,OAT3
Ibuprofen,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Ibuprofen,CAUSES,Gastric ulceration
Ibuprofen,CAUSES,Nephrotoxicity
Ibuprofen,CAUSES,Cardiovascular risk
Ibuprofen,CAUSES,Fluid retention
Naproxen,TARGETS,Cyclooxygenase-1 (COX-1)
Naproxen,TARGETS,Cyclooxygenase-2 (COX-2)
Naproxen,METABOLIZED_BY,CYP2C9
Naproxen,METABOLIZED_BY,CYP2C8
Naproxen,TRANSPORTED_BY,OAT1
Naproxen,TRANSPORTED_BY,OAT3
Naproxen,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Naproxen,CAUSES,Gastric ulceration
Naproxen,CAUSES,Nephrotoxicity
Naproxen,CAUSES,Cardiovascular risk
Naproxen,CAUSES,Fluid retention
Celecoxib,TARGETS,Cyclooxygenase-1 (COX-1)
Celecoxib,TARGETS,Cyclooxygenase-2 (COX-2)
Celecoxib,METABOLIZED_BY,CYP2C9
Celecoxib,METABOLIZED_BY,CYP2C8
Celecoxib,TRANSPORTED_BY,OAT1
Celecoxib,TRANSPORTED_BY,OAT3
Celecoxib,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Celecoxib,CAUSES,Gastric ulceration
Celecoxib,CAUSES,Nephrotoxicity
Celecoxib,CAUSES,Cardiovascular risk
Celecoxib,CAUSES,Fluid retention
Diclofenac,TARGETS,Cyclooxygenase-1 (COX-1)
Diclofenac,TARGETS,Cyclooxygenase-2 (COX-2)
Diclofenac,METABOLIZED_BY,CYP2C9
Diclofenac,METABOLIZED_BY,CYP2C8
Diclofenac,TRANSPORTED_BY,OAT1
Diclofenac,TRANSPORTED_BY,OAT3
Diclofenac,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Diclofenac,CAUSES,Gastric ulceration
Diclofenac,CAUSES,Nephrotoxicity
Diclofenac,CAUSES,Cardiovascular risk
Diclofenac,CAUSES,Fluid retention
Meloxicam,TARGETS,Cyclooxygenase-1 (COX-1)
Meloxicam,TARGETS,Cyclooxygenase-2 (COX-2)
Meloxicam,METABOLIZED_BY,CYP2C9
Meloxicam,METABOLIZED_BY,CYP2C8
Meloxicam,TRANSPORTED_BY,OAT1
Meloxicam,TRANSPORTED_BY,OAT3
Meloxicam,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Meloxicam,CAUSES,Gastric ulceration
Meloxicam,CAUSES,Nephrotoxicity
Meloxicam,CAUSES,Cardiovascular risk
Meloxicam,CAUSES,Fluid retention
Indomethacin,TARGETS,Cyclooxygenase-1 (COX-1)
Indomethacin,TARGETS,Cyclooxygenase-2 (COX-2)
Indomethacin,METABOLIZED_BY,CYP2C9
Indomethacin,METABOLIZED_BY,CYP2C8
Indomethacin,TRANSPORTED_BY,OAT1
Indomethacin,TRANSPORTED_BY,OAT3
Indomethacin,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Indomethacin,CAUSES,Gastric ulceration
Indomethacin,CAUSES,Nephrotoxicity
Indomethacin,CAUSES,Cardiovascular risk
Indomethacin,CAUSES,Fluid retention
Ketorolac,TARGETS,Cyclooxygenase-1 (COX-1)
Ketorolac,TARGETS,Cyclooxygenase-2 (COX-2)
Ketorolac,METABOLIZED_BY,CYP2C9
Ketorolac,METABOLIZED_BY,CYP2C8
Ketorolac,TRANSPORTED_BY,OAT1
Ketorolac,TRANSPORTED_BY,OAT3
Ketorolac,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Ketorolac,CAUSES,Gastric ulceration
Ketorolac,CAUSES,Nephrotoxicity
Ketorolac,CAUSES,Cardiovascular risk
Ketorolac,CAUSES,Fluid retention
Piroxicam,TARGETS,Cyclooxygenase-1 (COX-1)
Piroxicam,TARGETS,Cyclooxygenase-2 (COX-2)
Piroxicam,METABOLIZED_BY,CYP2C9
Piroxicam,METABOLIZED_BY,CYP2C8
Piroxicam,TRANSPORTED_BY,OAT1
Piroxicam,TRANSPORTED_BY,OAT3
Piroxicam,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Piroxicam,CAUSES,Gastric ulceration
Piroxicam,CAUSES,Nephrotoxicity
Piroxicam,CAUSES,Cardiovascular risk
Piroxicam,CAUSES,Fluid retention
Nabumetone,TARGETS,Cyclooxygenase-1 (COX-1)
Nabumetone,TARGETS,Cyclooxygenase-2 (COX-2)
Nabumetone,METABOLIZED_BY,CYP2C9
Nabumetone,METABOLIZED_BY,CYP2C8
Nabumetone,TRANSPORTED_BY,OAT1
Nabumetone,TRANSPORTED_BY,OAT3
Nabumetone,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Nabumetone,CAUSES,Gastric ulceration
Nabumetone,CAUSES,Nephrotoxicity
Nabumetone,CAUSES,Cardiovascular risk
Nabumetone,CAUSES,Fluid retention
Etodolac,TARGETS,Cyclooxygenase-1 (COX-1)
Etodolac,TARGETS,Cyclooxygenase-2 (COX-2)
Etodolac,METABOLIZED_BY,CYP2C9
Etodolac,METABOLIZED_BY,CYP2C8
Etodolac,TRANSPORTED_BY,OAT1
Etodolac,TRANSPORTED_BY,OAT3
Etodolac,PARTICIPATES_IN,Arachidonic acid metabolism / Prostaglandin synthesis
Etodolac,CAUSES,Gastric ulceration
Etodolac,CAUSES,Nephrotoxicity
Etodolac,CAUSES,Cardiovascular risk
Etodolac,CAUSES,Fluid retention
Losartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Losartan,METABOLIZED_BY,CYP2C9
Losartan,METABOLIZED_BY,CYP3A4
Losartan,TRANSPORTED_BY,OATP1B1
Losartan,TRANSPORTED_BY,BCRP
Losartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Losartan,CAUSES,Hyperkalemia
Losartan,CAUSES,Dizziness
Losartan,CAUSES,Hypotension
Losartan,CAUSES,Renal impairment
Valsartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Valsartan,METABOLIZED_BY,CYP2C9
Valsartan,METABOLIZED_BY,CYP3A4
Valsartan,TRANSPORTED_BY,OATP1B1
Valsartan,TRANSPORTED_BY,BCRP
Valsartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Valsartan,CAUSES,Hyperkalemia
Valsartan,CAUSES,Dizziness
Valsartan,CAUSES,Hypotension
Valsartan,CAUSES,Renal impairment
Olmesartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Olmesartan,METABOLIZED_BY,CYP2C9
Olmesartan,METABOLIZED_BY,CYP3A4
Olmesartan,TRANSPORTED_BY,OATP1B1
Olmesartan,TRANSPORTED_BY,BCRP
Olmesartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Olmesartan,CAUSES,Hyperkalemia
Olmesartan,CAUSES,Dizziness
Olmesartan,CAUSES,Hypotension
Olmesartan,CAUSES,Renal impairment
Candethartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Candethartan,METABOLIZED_BY,CYP2C9
Candethartan,METABOLIZED_BY,CYP3A4
Candethartan,TRANSPORTED_BY,OATP1B1
Candethartan,TRANSPORTED_BY,BCRP
Candethartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Candethartan,CAUSES,Hyperkalemia
Candethartan,CAUSES,Dizziness
Candethartan,CAUSES,Hypotension
Candethartan,CAUSES,Renal impairment
Irbesartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Irbesartan,METABOLIZED_BY,CYP2C9
Irbesartan,METABOLIZED_BY,CYP3A4
Irbesartan,TRANSPORTED_BY,OATP1B1
Irbesartan,TRANSPORTED_BY,BCRP
Irbesartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Irbesartan,CAUSES,Hyperkalemia
Irbesartan,CAUSES,Dizziness
Irbesartan,CAUSES,Hypotension
Irbesartan,CAUSES,Renal impairment
Telmisartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Telmisartan,METABOLIZED_BY,CYP2C9
Telmisartan,METABOLIZED_BY,CYP3A4
Telmisartan,TRANSPORTED_BY,OATP1B1
Telmisartan,TRANSPORTED_BY,BCRP
Telmisartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Telmisartan,CAUSES,Hyperkalemia
Telmisartan,CAUSES,Dizziness
Telmisartan,CAUSES,Hypotension
Telmisartan,CAUSES,Renal impairment
Eprosartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Eprosartan,METABOLIZED_BY,CYP2C9
Eprosartan,METABOLIZED_BY,CYP3A4
Eprosartan,TRANSPORTED_BY,OATP1B1
Eprosartan,TRANSPORTED_BY,BCRP
Eprosartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Eprosartan,CAUSES,Hyperkalemia
Eprosartan,CAUSES,Dizziness
Eprosartan,CAUSES,Hypotension
Eprosartan,CAUSES,Renal impairment
Azilsartan,TARGETS,Angiotensin II receptor type 1 (AT1)
Azilsartan,METABOLIZED_BY,CYP2C9
Azilsartan,METABOLIZED_BY,CYP3A4
Azilsartan,TRANSPORTED_BY,OATP1B1
Azilsartan,TRANSPORTED_BY,BCRP
Azilsartan,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Azilsartan,CAUSES,Hyperkalemia
Azilsartan,CAUSES,Dizziness
Azilsartan,CAUSES,Hypotension
Azilsartan,CAUSES,Renal impairment
Canagliflozin,TARGETS,Sodium-glucose cotransporter 2 (SGLT2 / SLC5A2)
Canagliflozin,METABOLIZED_BY,UGT1A9
Canagliflozin,METABOLIZED_BY,UGT2B7
Canagliflozin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Canagliflozin,TRANSPORTED_BY,BCRP
Canagliflozin,PARTICIPATES_IN,Renal glucose reabsorption pathway
Canagliflozin,CAUSES,Genitourinary tract infections
Canagliflozin,CAUSES,Euglycemic diabetic ketoacidosis
Canagliflozin,CAUSES,Polyuria
Dapagliflozin,TARGETS,Sodium-glucose cotransporter 2 (SGLT2 / SLC5A2)
Dapagliflozin,METABOLIZED_BY,UGT1A9
Dapagliflozin,METABOLIZED_BY,UGT2B7
Dapagliflozin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Dapagliflozin,TRANSPORTED_BY,BCRP
Dapagliflozin,PARTICIPATES_IN,Renal glucose reabsorption pathway
Dapagliflozin,CAUSES,Genitourinary tract infections
Dapagliflozin,CAUSES,Euglycemic diabetic ketoacidosis
Dapagliflozin,CAUSES,Polyuria
Empagliflozin,TARGETS,Sodium-glucose cotransporter 2 (SGLT2 / SLC5A2)
Empagliflozin,METABOLIZED_BY,UGT1A9
Empagliflozin,METABOLIZED_BY,UGT2B7
Empagliflozin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Empagliflozin,TRANSPORTED_BY,BCRP
Empagliflozin,PARTICIPATES_IN,Renal glucose reabsorption pathway
Empagliflozin,CAUSES,Genitourinary tract infections
Empagliflozin,CAUSES,Euglycemic diabetic ketoacidosis
Empagliflozin,CAUSES,Polyuria
Ertugliflozin,TARGETS,Sodium-glucose cotransporter 2 (SGLT2 / SLC5A2)
Ertugliflozin,METABOLIZED_BY,UGT1A9
Ertugliflozin,METABOLIZED_BY,UGT2B7
Ertugliflozin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Ertugliflozin,TRANSPORTED_BY,BCRP
Ertugliflozin,PARTICIPATES_IN,Renal glucose reabsorption pathway
Ertugliflozin,CAUSES,Genitourinary tract infections
Ertugliflozin,CAUSES,Euglycemic diabetic ketoacidosis
Ertugliflozin,CAUSES,Polyuria
Sotagliflozin,TARGETS,Sodium-glucose cotransporter 2 (SGLT2 / SLC5A2)
Sotagliflozin,METABOLIZED_BY,UGT1A9
Sotagliflozin,METABOLIZED_BY,UGT2B7
Sotagliflozin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Sotagliflozin,TRANSPORTED_BY,BCRP
Sotagliflozin,PARTICIPATES_IN,Renal glucose reabsorption pathway
Sotagliflozin,CAUSES,Genitourinary tract infections
Sotagliflozin,CAUSES,Euglycemic diabetic ketoacidosis
Sotagliflozin,CAUSES,Polyuria
Rivaroxaban,TARGETS,Coagulation Factor Xa
Rivaroxaban,TARGETS,Vitamin K epoxide reductase (VKORC1)
Rivaroxaban,METABOLIZED_BY,CYP3A4
Rivaroxaban,METABOLIZED_BY,CYP2C9
Rivaroxaban,TRANSPORTED_BY,P-glycoprotein (P-gp)
Rivaroxaban,TRANSPORTED_BY,BCRP
Rivaroxaban,PARTICIPATES_IN,Coagulation cascade
Rivaroxaban,CAUSES,Bleeding
Rivaroxaban,CAUSES,Hemorrhage
Rivaroxaban,CAUSES,Thrombocytopenia
Rivaroxaban,CAUSES,Hematoma
Apixaban,TARGETS,Coagulation Factor Xa
Apixaban,TARGETS,Vitamin K epoxide reductase (VKORC1)
Apixaban,METABOLIZED_BY,CYP3A4
Apixaban,METABOLIZED_BY,CYP2C9
Apixaban,TRANSPORTED_BY,P-glycoprotein (P-gp)
Apixaban,TRANSPORTED_BY,BCRP
Apixaban,PARTICIPATES_IN,Coagulation cascade
Apixaban,CAUSES,Bleeding
Apixaban,CAUSES,Hemorrhage
Apixaban,CAUSES,Thrombocytopenia
Apixaban,CAUSES,Hematoma
Edoxaban,TARGETS,Coagulation Factor Xa
Edoxaban,TARGETS,Vitamin K epoxide reductase (VKORC1)
Edoxaban,METABOLIZED_BY,CYP3A4
Edoxaban,METABOLIZED_BY,CYP2C9
Edoxaban,TRANSPORTED_BY,P-glycoprotein (P-gp)
Edoxaban,TRANSPORTED_BY,BCRP
Edoxaban,PARTICIPATES_IN,Coagulation cascade
Edoxaban,CAUSES,Bleeding
Edoxaban,CAUSES,Hemorrhage
Edoxaban,CAUSES,Thrombocytopenia
Edoxaban,CAUSES,Hematoma
Warfarin,TARGETS,Coagulation Factor Xa
Warfarin,TARGETS,Vitamin K epoxide reductase (VKORC1)
Warfarin,METABOLIZED_BY,CYP3A4
Warfarin,METABOLIZED_BY,CYP2C9
Warfarin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Warfarin,TRANSPORTED_BY,BCRP
Warfarin,PARTICIPATES_IN,Coagulation cascade
Warfarin,CAUSES,Bleeding
Warfarin,CAUSES,Hemorrhage
Warfarin,CAUSES,Thrombocytopenia
Warfarin,CAUSES,Hematoma
Dabigatran,TARGETS,Coagulation Factor Xa
Dabigatran,TARGETS,Vitamin K epoxide reductase (VKORC1)
Dabigatran,METABOLIZED_BY,CYP3A4
Dabigatran,METABOLIZED_BY,CYP2C9
Dabigatran,TRANSPORTED_BY,P-glycoprotein (P-gp)
Dabigatran,TRANSPORTED_BY,BCRP
Dabigatran,PARTICIPATES_IN,Coagulation cascade
Dabigatran,CAUSES,Bleeding
Dabigatran,CAUSES,Hemorrhage
Dabigatran,CAUSES,Thrombocytopenia
Dabigatran,CAUSES,Hematoma
Fondaparinux,TARGETS,Coagulation Factor Xa
Fondaparinux,TARGETS,Vitamin K epoxide reductase (VKORC1)
Fondaparinux,METABOLIZED_BY,CYP3A4
Fondaparinux,METABOLIZED_BY,CYP2C9
Fondaparinux,TRANSPORTED_BY,P-glycoprotein (P-gp)
Fondaparinux,TRANSPORTED_BY,BCRP
Fondaparinux,PARTICIPATES_IN,Coagulation cascade
Fondaparinux,CAUSES,Bleeding
Fondaparinux,CAUSES,Hemorrhage
Fondaparinux,CAUSES,Thrombocytopenia
Fondaparinux,CAUSES,Hematoma
Fluconazole,TARGETS,Lanosterol 14-alpha-demethylase (CYP51)
Fluconazole,METABOLIZED_BY,CYP3A4 (inhibitor)
Fluconazole,METABOLIZED_BY,CYP2C19 (inhibitor)
Fluconazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Fluconazole,PARTICIPATES_IN,Ergosterol biosynthesis pathway
Fluconazole,CAUSES,Hepatotoxicity
Fluconazole,CAUSES,QTc prolongation
Fluconazole,CAUSES,Visual disturbances (voriconazole)
Fluconazole,CAUSES,Nausea
Ketoconazole,TARGETS,Lanosterol 14-alpha-demethylase (CYP51)
Ketoconazole,METABOLIZED_BY,CYP3A4 (inhibitor)
Ketoconazole,METABOLIZED_BY,CYP2C19 (inhibitor)
Ketoconazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Ketoconazole,PARTICIPATES_IN,Ergosterol biosynthesis pathway
Ketoconazole,CAUSES,Hepatotoxicity
Ketoconazole,CAUSES,QTc prolongation
Ketoconazole,CAUSES,Visual disturbances (voriconazole)
Ketoconazole,CAUSES,Nausea
Itraconazole,TARGETS,Lanosterol 14-alpha-demethylase (CYP51)
Itraconazole,METABOLIZED_BY,CYP3A4 (inhibitor)
Itraconazole,METABOLIZED_BY,CYP2C19 (inhibitor)
Itraconazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Itraconazole,PARTICIPATES_IN,Ergosterol biosynthesis pathway
Itraconazole,CAUSES,Hepatotoxicity
Itraconazole,CAUSES,QTc prolongation
Itraconazole,CAUSES,Visual disturbances (voriconazole)
Itraconazole,CAUSES,Nausea
Voriconazole,TARGETS,Lanosterol 14-alpha-demethylase (CYP51)
Voriconazole,METABOLIZED_BY,CYP3A4 (inhibitor)
Voriconazole,METABOLIZED_BY,CYP2C19 (inhibitor)
Voriconazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Voriconazole,PARTICIPATES_IN,Ergosterol biosynthesis pathway
Voriconazole,CAUSES,Hepatotoxicity
Voriconazole,CAUSES,QTc prolongation
Voriconazole,CAUSES,Visual disturbances (voriconazole)
Voriconazole,CAUSES,Nausea
Posaconazole,TARGETS,Lanosterol 14-alpha-demethylase (CYP51)
Posaconazole,METABOLIZED_BY,CYP3A4 (inhibitor)
Posaconazole,METABOLIZED_BY,CYP2C19 (inhibitor)
Posaconazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Posaconazole,PARTICIPATES_IN,Ergosterol biosynthesis pathway
Posaconazole,CAUSES,Hepatotoxicity
Posaconazole,CAUSES,QTc prolongation
Posaconazole,CAUSES,Visual disturbances (voriconazole)
Posaconazole,CAUSES,Nausea
Isavuconazole,TARGETS,Lanosterol 14-alpha-demethylase (CYP51)
Isavuconazole,METABOLIZED_BY,CYP3A4 (inhibitor)
Isavuconazole,METABOLIZED_BY,CYP2C19 (inhibitor)
Isavuconazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Isavuconazole,PARTICIPATES_IN,Ergosterol biosynthesis pathway
Isavuconazole,CAUSES,Hepatotoxicity
Isavuconazole,CAUSES,QTc prolongation
Isavuconazole,CAUSES,Visual disturbances (voriconazole)
Isavuconazole,CAUSES,Nausea
Alendronate,TARGETS,Farnesyl pyrophosphate synthase (FPPS)
Alendronate,METABOLIZED_BY,Not metabolized
Alendronate,TRANSPORTED_BY,Not fully characterized (renal excretion)
Alendronate,PARTICIPATES_IN,Mevalonate pathway / Osteoclast apoptosis
Alendronate,CAUSES,Osteonecrosis of the jaw
Alendronate,CAUSES,Esophagitis
Alendronate,CAUSES,Atypical femur fractures
Alendronate,CAUSES,Hypocalcemia
Risedronate,TARGETS,Farnesyl pyrophosphate synthase (FPPS)
Risedronate,METABOLIZED_BY,Not metabolized
Risedronate,TRANSPORTED_BY,Not fully characterized (renal excretion)
Risedronate,PARTICIPATES_IN,Mevalonate pathway / Osteoclast apoptosis
Risedronate,CAUSES,Osteonecrosis of the jaw
Risedronate,CAUSES,Esophagitis
Risedronate,CAUSES,Atypical femur fractures
Risedronate,CAUSES,Hypocalcemia
Ibandronate,TARGETS,Farnesyl pyrophosphate synthase (FPPS)
Ibandronate,METABOLIZED_BY,Not metabolized
Ibandronate,TRANSPORTED_BY,Not fully characterized (renal excretion)
Ibandronate,PARTICIPATES_IN,Mevalonate pathway / Osteoclast apoptosis
Ibandronate,CAUSES,Osteonecrosis of the jaw
Ibandronate,CAUSES,Esophagitis
Ibandronate,CAUSES,Atypical femur fractures
Ibandronate,CAUSES,Hypocalcemia
Zoledronic acid,TARGETS,Farnesyl pyrophosphate synthase (FPPS)
Zoledronic acid,METABOLIZED_BY,Not metabolized
Zoledronic acid,TRANSPORTED_BY,Not fully characterized (renal excretion)
Zoledronic acid,PARTICIPATES_IN,Mevalonate pathway / Osteoclast apoptosis
Zoledronic acid,CAUSES,Osteonecrosis of the jaw
Zoledronic acid,CAUSES,Esophagitis
Zoledronic acid,CAUSES,Atypical femur fractures
Zoledronic acid,CAUSES,Hypocalcemia
Pamidronate,TARGETS,Farnesyl pyrophosphate synthase (FPPS)
Pamidronate,METABOLIZED_BY,Not metabolized
Pamidronate,TRANSPORTED_BY,Not fully characterized (renal excretion)
Pamidronate,PARTICIPATES_IN,Mevalonate pathway / Osteoclast apoptosis
Pamidronate,CAUSES,Osteonecrosis of the jaw
Pamidronate,CAUSES,Esophagitis
Pamidronate,CAUSES,Atypical femur fractures
Pamidronate,CAUSES,Hypocalcemia
Etidronate,TARGETS,Farnesyl pyrophosphate synthase (FPPS)
Etidronate,METABOLIZED_BY,Not metabolized
Etidronate,TRANSPORTED_BY,Not fully characterized (renal excretion)
Etidronate,PARTICIPATES_IN,Mevalonate pathway / Osteoclast apoptosis
Etidronate,CAUSES,Osteonecrosis of the jaw
Etidronate,CAUSES,Esophagitis
Etidronate,CAUSES,Atypical femur fractures
Etidronate,CAUSES,Hypocalcemia
Azithromycin,TARGETS,50S ribosomal subunit (23S rRNA)
Azithromycin,METABOLIZED_BY,CYP3A4 (inhibitor)
Azithromycin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Azithromycin,PARTICIPATES_IN,Bacterial protein synthesis
Azithromycin,CAUSES,Gastrointestinal distress
Azithromycin,CAUSES,QTc prolongation
Azithromycin,CAUSES,Hepatotoxicity
Azithromycin,CAUSES,Ototoxicity
Clarithromycin,TARGETS,50S ribosomal subunit (23S rRNA)
Clarithromycin,METABOLIZED_BY,CYP3A4 (inhibitor)
Clarithromycin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Clarithromycin,PARTICIPATES_IN,Bacterial protein synthesis
Clarithromycin,CAUSES,Gastrointestinal distress
Clarithromycin,CAUSES,QTc prolongation
Clarithromycin,CAUSES,Hepatotoxicity
Clarithromycin,CAUSES,Ototoxicity
Erythromycin,TARGETS,50S ribosomal subunit (23S rRNA)
Erythromycin,METABOLIZED_BY,CYP3A4 (inhibitor)
Erythromycin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Erythromycin,PARTICIPATES_IN,Bacterial protein synthesis
Erythromycin,CAUSES,Gastrointestinal distress
Erythromycin,CAUSES,QTc prolongation
Erythromycin,CAUSES,Hepatotoxicity
Erythromycin,CAUSES,Ototoxicity
Telithromycin,TARGETS,50S ribosomal subunit (23S rRNA)
Telithromycin,METABOLIZED_BY,CYP3A4 (inhibitor)
Telithromycin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Telithromycin,PARTICIPATES_IN,Bacterial protein synthesis
Telithromycin,CAUSES,Gastrointestinal distress
Telithromycin,CAUSES,QTc prolongation
Telithromycin,CAUSES,Hepatotoxicity
Telithromycin,CAUSES,Ototoxicity
Fidaxomicin,TARGETS,50S ribosomal subunit (23S rRNA)
Fidaxomicin,METABOLIZED_BY,CYP3A4 (inhibitor)
Fidaxomicin,TRANSPORTED_BY,P-glycoprotein (P-gp)
Fidaxomicin,PARTICIPATES_IN,Bacterial protein synthesis
Fidaxomicin,CAUSES,Gastrointestinal distress
Fidaxomicin,CAUSES,QTc prolongation
Fidaxomicin,CAUSES,Hepatotoxicity
Fidaxomicin,CAUSES,Ototoxicity
Sumatriptan,TARGETS,5-HT1B receptor
Sumatriptan,TARGETS,5-HT1D receptor
Sumatriptan,METABOLIZED_BY,MAO-A
Sumatriptan,METABOLIZED_BY,CYP1A2
Sumatriptan,TRANSPORTED_BY,P-glycoprotein (P-gp)
Sumatriptan,PARTICIPATES_IN,Serotonergic vasoconstriction / Trigeminal inhibition
Sumatriptan,CAUSES,Chest tightness
Sumatriptan,CAUSES,Paresthesia
Sumatriptan,CAUSES,Dizziness
Sumatriptan,CAUSES,Flushing
Sumatriptan,CAUSES,Medication overuse headache
Rizatriptan,TARGETS,5-HT1B receptor
Rizatriptan,TARGETS,5-HT1D receptor
Rizatriptan,METABOLIZED_BY,MAO-A
Rizatriptan,METABOLIZED_BY,CYP1A2
Rizatriptan,TRANSPORTED_BY,P-glycoprotein (P-gp)
Rizatriptan,PARTICIPATES_IN,Serotonergic vasoconstriction / Trigeminal inhibition
Rizatriptan,CAUSES,Chest tightness
Rizatriptan,CAUSES,Paresthesia
Rizatriptan,CAUSES,Dizziness
Rizatriptan,CAUSES,Flushing
Rizatriptan,CAUSES,Medication overuse headache
Zolmitriptan,TARGETS,5-HT1B receptor
Zolmitriptan,TARGETS,5-HT1D receptor
Zolmitriptan,METABOLIZED_BY,MAO-A
Zolmitriptan,METABOLIZED_BY,CYP1A2
Zolmitriptan,TRANSPORTED_BY,P-glycoprotein (P-gp)
Zolmitriptan,PARTICIPATES_IN,Serotonergic vasoconstriction / Trigeminal inhibition
Zolmitriptan,CAUSES,Chest tightness
Zolmitriptan,CAUSES,Paresthesia
Zolmitriptan,CAUSES,Dizziness
Zolmitriptan,CAUSES,Flushing
Zolmitriptan,CAUSES,Medication overuse headache
Eletriptan,TARGETS,5-HT1B receptor
Eletriptan,TARGETS,5-HT1D receptor
Eletriptan,METABOLIZED_BY,MAO-A
Eletriptan,METABOLIZED_BY,CYP1A2
Eletriptan,TRANSPORTED_BY,P-glycoprotein (P-gp)
Eletriptan,PARTICIPATES_IN,Serotonergic vasoconstriction / Trigeminal inhibition
Eletriptan,CAUSES,Chest tightness
Eletriptan,CAUSES,Paresthesia
Eletriptan,CAUSES,Dizziness
Eletriptan,CAUSES,Flushing
